Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5.3_2019-06-13
Full Report (All Nutrients)
Report Run at: September 05 2019 02:20 EDT
"Nutrient data for: Beans, snap, green, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup 1/2"" pieces = 100.0g","10.0 beans (4"" long) = 55.0g",
Proximates
"Water",g,90.32,165,0.270,90.32,49.68
"Energy",kcal,31,--,--,31,17
"Energy",kJ,131,--,--,131,72
"Protein",g,1.83,104,0.040,1.83,1.01
"Total lipid (fat)",g,0.22,14,0.030,0.22,0.12
"Ash",g,0.66,144,0.010,0.66,0.36
"Carbohydrate, by difference",g,6.97,--,--,6.97,3.83
"Fiber, total dietary",g,2.7,4,0.050,2.7,1.5
"Sugars, total",g,3.26,4,0.230,3.26,1.79
"Sucrose",g,0.36,4,0.160,0.36,0.20
"Glucose (dextrose)",g,1.51,4,0.110,1.51,0.83
"Fructose",g,1.39,4,0.200,1.39,0.76
"Lactose",g,0.00,4,0.000,0.00,0.00
"Maltose",g,0.00,4,0.000,0.00,0.00
"Galactose",g,0.00,4,0.000,0.00,0.00
"Starch",g,0.88,4,0.140,0.88,0.48
Minerals
"Calcium, Ca",mg,37,153,1.000,37,20
"Iron, Fe",mg,1.03,155,0.070,1.03,0.57
"Magnesium, Mg",mg,25,151,0.000,25,14
"Phosphorus, P",mg,38,140,0.000,38,21
"Potassium, K",mg,211,154,4.000,211,116
"Sodium, Na",mg,6,154,0.000,6,3
"Zinc, Zn",mg,0.24,152,0.020,0.24,0.13
"Copper, Cu",mg,0.069,161,0.004,0.069,0.038
"Manganese, Mn",mg,0.216,150,0.008,0.216,0.119
"Selenium, Se",µg,0.6,1,--,0.6,0.3
"Fluoride, F",µg,19.0,36,6.600,19.0,10.4
Vitamins
"Vitamin C, total ascorbic acid",mg,12.2,9,0.700,12.2,6.7
"Thiamin",mg,0.082,102,0.002,0.082,0.045
"Riboflavin",mg,0.104,102,0.003,0.104,0.057
"Niacin",mg,0.734,12,0.030,0.734,0.404
"Pantothenic acid",mg,0.225,4,0.023,0.225,0.124
"Vitamin B-6",mg,0.141,4,0.002,0.141,0.078
"Folate, total",µg,33,8,2.000,33,18
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,33,8,2.000,33,18
"Folate, DFE",µg,33,--,--,33,18
"Choline, total",mg,15.3,--,--,15.3,8.4
"Betaine",mg,0.1,--,--,0.1,0.1
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,35,--,--,35,19
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,379,77,48.000,379,208
"Carotene, alpha",µg,69,70,10.000,69,38
"Cryptoxanthin, beta",µg,0,21,0.000,0,0
"Vitamin A, IU",IU,690,--,--,690,380
"Lycopene",µg,0,6,0.000,0,0
"Lutein + zeaxanthin",µg,640,6,50.000,640,352
"Vitamin E (alpha-tocopherol)",mg,0.41,--,--,0.41,0.23
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,43.0,--,--,43.0,23.6
Lipids
"Fatty acids, total saturated",g,0.050,--,--,0.050,0.028
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000
"14:0",g,0.000,1,--,0.000,0.000
"16:0",g,0.042,2,--,0.042,0.023
"18:0",g,0.008,2,--,0.008,0.004
"Fatty acids, total monounsaturated",g,0.010,--,--,0.010,0.006
"16:1 undifferentiated",g,0.000,1,--,0.000,0.000
"18:1 undifferentiated",g,0.008,2,--,0.008,0.004
"20:1",g,0.000,--,--,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.113,--,--,0.113,0.062
"18:2 undifferentiated",g,0.044,2,--,0.044,0.024
"18:3 undifferentiated",g,0.069,2,--,0.069,0.038
"18:4",g,0.000,--,--,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000
